#############################################;;;;;;;;;;;;;;x
#Size Tags;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
STR;即Strategic State Flag\n劬This flag dynamically assigns a size to this state. Currently it's set to Strategic, as it's either below 80k pops before 1870 or below 120k pops after 1870.;;;;;;;;;;;;;x
SMA;即Small State Flag\n劬This flag dynamically assigns a size to this state. Currently it's set to Small, as it's either below 360k pops before 1870 or below 500k pops after 1870.;;;;;;;;;;;;;x
MED;即Medium State Flag\n劬This flag dynamically assigns a size to this state. Currently it's set to Medium, as it's either below 680k pops before 1870 or below 800k pops after 1870.;;;;;;;;;;;;;x
LRG;即Large State Flag\n劬This flag dynamically assigns a size to this state. Currently it's set to Large, as it's either below 900k pops before 1870 or below 1,1m pops after 1870.;;;;;;;;;;;;;x
HUG;即Huge State Flag\n劬This flag dynamically assigns a size to this state. Currently it's set to Huge, as it's either above 900k pops before 1870 or above 1,1m pops after 1870.;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Sized CBs;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
acquire_core_state_strat;Take Strategic Core State;;;;;;;;;;;;;;x
acquire_core_state_strat_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_strat_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_strat_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_small;Take Small Core State;;;;;;;;;;;;;;x
acquire_core_state_small_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_small_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_small_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_medium;Take Medium Core State;;;;;;;;;;;;;;x
acquire_core_state_medium_short;Acquire $STATE$;;;;;;;;;;;;;;x
